file,path,format,bytes,used_by_classnames,share_count,recorded_source,tool_stated_in_file,units_and_axes,meshes,materials,material_names,textures,images,uv_declared,paint_readiness,hardpoint_named_nodes_STATED_IN_FILE,markers_cig_PROJECT,markers_inherited_PROJECT,markers_name_derived_PROJECT,animations,skins,lod_named,collision_named,node_transforms,raw_accessor_extent_X_Y_Z_MEASURED,world_extent_X_Y_Z_MEASURED_node_transforms_applied,skinned
85X.glb,testing/_deploy/models/85X.glb,"glTF 2 binary, Draco yes",3107272,ORIG_85X,1,"sc-ships/index.json id 123, slug nfxmuj6akp0ds (Fleetyards, index dated 2026-07-26) | MODEL_SOURCE.txt: https://api.fleetyards.net/v1/models/orig-85x",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,112,113,orig_85x_mtl_Grey|orig_85x_mtl_Darker|orig_85x_mtl_Accents|orig_85x_mtl_Metal|orig_85x_mtl_interior_gubs|orig_85x_mtl_internals_POM|orig_85x_mtl_glass_interior|orig_85x_mtl_Dark|orig_85x_mtl_POM|orig_85x_mtl_Chrome|orig_85x_mtl_decals_diff|orig_85x_mtl_Lights|orig_85x_mtl_glass|orig_85x_int_mtl_white_gloss|orig_85x_int_mtl_black_matte|orig_85x_int_mtl_brushed_aluminium|orig_85x_int_mtl_fabric_1_mesh|orig_85x_int_mtl_pom|orig_85x_int_mtl_pom_thread|orig_85x_int_mtl_carbon_fibre|orig_85x_int_mtl_fabric_3_mesh_darker|orig_85x_int_mtl_pom_thread_colour|klwe_las_rep_s1-3_mtl_pom_decals|klwe_las_rep_s1-3_mtl_graphic_decals|klwe_las_rep_s1-3_mtl_H_painted_metal_dark_gray_01|klwe_las_rep_s1-3_mtl_H_metal_dark_01|klwe_las_rep_s1-3_mtl_H_aluminium|klwe_las_rep_s1-3_mtl_H_painted_metal_orange_01|klwe_las_rep_s1-3_mtl_H_copper|klwe_las_rep_s1-3_mtl_H_painted_metal_dark_green_01|radr_nave_s01_pl03_mtl_decal_pom|radr_nave_s01_pl03_mtl_decal_diffuse|radr_nave_s01_pl03_mtl_SubMtl8|radr_nave_s01_pl03_mtl_SubMtl9|orig_85x_mtl_thruster_glow|orig_85x_int_mtl_emissives_linked|orig_85x_int_mtl_black_gloss|orig_85x_int_mtl_wood|orig_85x_int_mtl_fabric_2_leather|orig_85x_int_mtl_glass_smoked|orig_85x_int_mtl_decals|orig_85x_int_mtl_grey|orig_85x_int_mtl_emissives|orig_85x_int_mtl_pattern_matte_black|orig_85x_int_mtl_internal_pom|orig_300i_ext_mtl_hull_a|orig_300i_ext_mtl_hull_d|orig_85x_int_mtl_RTT_holograms|orig_85x_int_mtl_screens|cool_acom_s01_pl03_mtl_pom|cool_acom_s01_pl03_mtl_decals|cool_acom_s01_pl03_mtl_trim|cool_acom_s01_pl03_mtl_black_shiny_metal|cool_acom_s01_pl03_mtl_handles_metal|cool_acom_s01_pl03_mtl_black_glossy_metal|cool_acom_s01_pl03_mtl_metal_grey|cool_acom_s01_pl03_mtl_metal_grey2|cool_acom_s01_pl03_mtl_bronze|cool_acom_s01_pl03_mtl_bronze2|cool_acom_s01_pl03_mtl_bronze3|cool_acom_s01_pl03_mtl_hooks|cool_acom_s01_pl03_mtl_tank|cool_acom_s01_pl03_mtl_pipes_manifold|cool_acom_s01_pl03_mtl_metal|cool_acom_s01_pl03_mtl_metal2|cool_acom_s01_pl03_mtl_metal3|cool_acom_s01_pl03_mtl_paint1|cool_acom_s01_pl03_mtl_paint2|cool_acom_s01_pl03_mtl_carbonfiber|cool_acom_s01_pl03_mtl_exhaust_cover|cool_acom_s01_pl03_mtl_glass|powr_lplt_smal_pl03_mtl_decals_pom_a|powr_lplt_smal_pl03_mtl_decals_diff_a|powr_lplt_smal_pl03_mtl_trim|powr_lplt_smal_pl03_mtl_var_2|powr_lplt_smal_pl03_mtl_var_3|powr_lplt_smal_pl03_mtl_var_4|powr_lplt_smal_pl03_mtl_inside_bare_metal|powr_lplt_smal_pl03_mtl_wire_1|powr_lplt_smal_pl03_mtl_wire_2|powr_lplt_smal_pl03_mtl_SubMtl14|powr_lplt_smal_pl03_mtl_SubMtl15|powr_lplt_smal_pl03_mtl_SubMtl16|powr_lplt_smal_pl03_mtl_SubMtl17|qdrv_wetk_smal_pl03_mtl_glows|qdrv_wetk_smal_pl03_mtl_pom|qdrv_wetk_smal_pl03_mtl_trim|qdrv_wetk_smal_pl03_mtl_decals|qdrv_wetk_smal_pl03_mtl_black_metal|qdrv_wetk_smal_pl03_mtl_metal_steel|qdrv_wetk_smal_pl03_mtl_plastic_smooth_black|qdrv_wetk_smal_pl03_mtl_plastic_smooth_grey|qdrv_wetk_smal_pl03_mtl_plastic_rough|qdrv_wetk_smal_pl03_mtl_metal_bare_shiny|qdrv_wetk_smal_pl03_mtl_pipe_weave|qdrv_wetk_smal_pl03_mtl_metal_bare_dull|class_2b_mount_placeholder_mtl_CF-117|starmap_mtl_starmap|shld_yorm_smal_pl03_a_mtl_POM|shld_yorm_smal_pl03_a_mtl_Decals|shld_yorm_smal_pl03_a_mtl_trim|shld_yorm_smal_pl03_a_mtl_variation_1|shld_yorm_smal_pl03_a_mtl_variation_2|shld_yorm_smal_pl03_a_mtl_variation_3|shld_yorm_smal_pl03_a_mtl_variation_4|shld_yorm_smal_pl03_a_mtl_variation_5|shld_yorm_smal_pl03_a_mtl_plastic_glossy|shld_yorm_smal_pl03_a_mtl_plastic_smooth|shld_yorm_smal_pl03_a_mtl_plastic_rough|shld_yorm_smal_pl03_a_mtl_pipes|shld_yorm_smal_pl03_a_mtl_pipes_caps|shld_yorm_smal_pl03_a_mtl_handle_arms|shld_yorm_smal_pl03_a_mtl_handle,0,0,yes,split materials (113),199,5,6,0,0,2,0,0,yes,10.104 x 5.281 x 13.094,14.0 x 2.711 x 13.51,yes - skinning NOT applied to the box
890_Jump.glb,testing/_deploy/models/890_Jump.glb,"glTF 2 binary, Draco yes",1161728,ORIG_890Jump,1,"sc-ships/index.json id 55, slug b3pxqmapg37k4 (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,10,67,7,0,0,0,0,no,71.081 x 37.162 x 205.528,71.081 x 37.162 x 205.528,no
A1_Spirit.glb,testing/_deploy/models/A1_Spirit.glb,"glTF 2 binary, Draco yes",2939240,CRUS_Spirit_A1,1,"sc-ships/index.json id 237, slug x28xq7e8384n4 (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,14,1,0,0,0,0,no,44.356 x 8.567 x 46.682,44.356 x 8.567 x 46.682,no
A2_Hercules.glb,testing/_deploy/models/A2_Hercules.glb,"glTF 2 binary, Draco yes",2903156,CRUS_Starlifter_A2;CRUS_Starlifter_A2_Collector_Military,2,"sc-ships/index.json id 164, slug uhwgic6mje1wd (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,36,74,0,0,0,0,0,no,70.225 x 24.68 x 94.376,70.225 x 24.68 x 94.376,no
ATLS.glb,testing/_deploy/models/ATLS.glb,"glTF 2 binary, Draco yes",909680,ARGO_ATLS;ARGO_ATLS_GEO_IKTI;ARGO_ATLS_IKTI;ARGO_ATLS_IKTI_ARGOS,4,"sc-ships/index.json id 277, slug 8kq6y6cndi2il (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,0,0,0,0,0,0,0,no,1.761 x 2.858 x 2.03,1.761 x 2.858 x 2.03,no
ATLS_GEO.glb,testing/_deploy/models/ATLS_GEO.glb,"glTF 2 binary, Draco yes",1348812,ARGO_ATLS_GEO;ARGO_ATLS_GEO_Collector_Grad01;ARGO_ATLS_GEO_Collector_Grad02;ARGO_ATLS_GEO_Collector_Grad03,4,"sc-ships/index.json id 296, slug jm3itql877y4v (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,0,0,0,0,0,0,0,no,1.761 x 2.905 x 2.629,1.761 x 2.905 x 2.629,no
Anvil_Ballista_Dunestalker.glb,testing/_deploy/models/Anvil_Ballista_Dunestalker.glb,"glTF 2 binary, Draco yes",1272104,ORPHAN - referenced by no ClassName,0,"sc-ships/index.json id 185, slug 1jjyp82cujwik (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,0,0,0,0,0,0,0,no,6.738 x 5.36 x 16.719,6.738 x 5.36 x 16.719,no
Anvil_Ballista_Snowblind.glb,testing/_deploy/models/Anvil_Ballista_Snowblind.glb,"glTF 2 binary, Draco yes",1272104,ORPHAN - referenced by no ClassName,0,"sc-ships/index.json id 184, slug kzg189bm23817 (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,0,0,0,0,0,0,0,no,6.738 x 5.36 x 16.719,6.738 x 5.36 x 16.719,no
Apollo_Medivac.glb,testing/_deploy/models/Apollo_Medivac.glb,"glTF 2 binary, Draco yes",2959896,RSI_Apollo_Medivac;RSI_Apollo_Medivac_Tier_1;RSI_Apollo_Medivac_Tier_2;RSI_Apollo_Medivac_Tier_3,4,"sc-ships/index.json id 167, slug zjewpz08skadz (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,20,96,0,0,0,0,0,no,55.005 x 14.251 x 64.746,55.005 x 14.251 x 64.746,no
Apollo_Triage.glb,testing/_deploy/models/Apollo_Triage.glb,"glTF 2 binary, Draco yes",2948164,RSI_Apollo_Triage;RSI_Apollo_Triage_Collector_Stealth;RSI_Apollo_Triage_Tier_1;RSI_Apollo_Triage_Tier_2;RSI_Apollo_Triage_Tier_3,5,"sc-ships/index.json id 166, slug 0nteq6g7cqyo9 (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,25,80,0,0,0,0,0,no,55.005 x 14.251 x 64.747,55.005 x 14.251 x 64.747,no
Ares_Inferno.glb,testing/_deploy/models/Ares_Inferno.glb,"glTF 2 binary, Draco yes",1020080,CRUS_Starfighter_Inferno;CRUS_Starfighter_Inferno_Collector_Military,2,"sc-ships/index.json id 198, slug 03ub2bf7v1so7 (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,12,40,0,0,0,0,0,no,29.763 x 5.412 x 26.326,29.763 x 5.412 x 26.326,no
Ares_Ion.glb,testing/_deploy/models/Ares_Ion.glb,"glTF 2 binary, Draco yes",981376,CRUS_Starfighter_Ion;CRUS_Starfighter_Ion_Collector_Stealth,2,"sc-ships/index.json id 200, slug z2aha5o22d2sr (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,12,40,0,0,0,0,0,no,29.763 x 5.408 x 26.65,29.763 x 5.408 x 26.65,no
Argo_Mole_Carbon_Edition.glb,testing/_deploy/models/Argo_Mole_Carbon_Edition.glb,"glTF 2 binary, Draco yes",3391964,ORPHAN - referenced by no ClassName,0,"sc-ships/index.json id 202, slug yve1mupdhirfi (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,0,0,0,0,0,0,0,no,25.727 x 13.332 x 42.25,25.727 x 13.332 x 42.25,no
Argo_Mole_Talus_Edition.glb,testing/_deploy/models/Argo_Mole_Talus_Edition.glb,"glTF 2 binary, Draco yes",3391964,ORPHAN - referenced by no ClassName,0,"sc-ships/index.json id 203, slug vc7ea931hluvd (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,0,0,0,0,0,0,0,no,25.727 x 13.332 x 42.25,25.727 x 13.332 x 42.25,no
Arrastra.glb,testing/_deploy/models/Arrastra.glb,"glTF 2 binary, Draco yes",440264,ORPHAN - referenced by no ClassName,0,"sc-ships/index.json id 260, slug srmfzey00f0op (Fleetyards, index dated 2026-07-26) | MODEL_SOURCE.txt: https://api.fleetyards.net/v1/models/rsi-arrastra",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Material,0,0,yes,"one or two materials, not split by part (names in material_names)",0,0,0,0,0,0,0,0,yes,64.571 x 19.196 x 118.949,124.0 x 20.011 x 67.312,no
Arrow.glb,testing/_deploy/models/Arrow.glb,"glTF 2 binary, Draco yes",1581872,ANVL_Arrow,1,"sc-ships/index.json id 173, slug 4wo16o7htn7on (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,9,10,0,0,0,0,0,no,12.027 x 3.06 x 17.793,12.027 x 3.06 x 17.793,no
Asgard.glb,testing/_deploy/models/Asgard.glb,"glTF 2 binary, Draco yes",219980,ANVL_Asgard;ANVL_Asgard_Collector_Military,2,"sc-ships/index.json id 299, slug 12o4gxrb61oij (Fleetyards, index dated 2026-07-26)",Khronos glTF Blender I/O v4.5.49,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,28,56,0,0,0,0,0,no,33.878 x 13.332 x 48.558,33.878 x 13.332 x 48.558,no
Aurora_CL.glb,testing/_deploy/models/Aurora_CL.glb,"glTF 2 binary, Draco yes",1364592,RSI_Aurora_GS_CL,1,"sc-ships/index.json id 5, slug q16e8d9eob0gs (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,6,0,0,0,0,0,no,8.217 x 4.355 x 18.522,8.217 x 4.355 x 18.522,no
Aurora_ES.glb,testing/_deploy/models/Aurora_ES.glb,"glTF 2 binary, Draco yes",1364592,RSI_Aurora_GS_ES,1,"sc-ships/index.json id 1, slug olnxn0e9bht7p (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,6,0,0,0,0,0,no,8.217 x 4.355 x 18.522,8.217 x 4.355 x 18.522,no
Aurora_LN.glb,testing/_deploy/models/Aurora_LN.glb,"glTF 2 binary, Draco yes",1364592,RSI_Aurora_GS_LN,1,"sc-ships/index.json id 6, slug x54cglm033ygx (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,8,0,0,0,0,0,no,8.217 x 4.355 x 18.522,8.217 x 4.355 x 18.522,no
Aurora_LX.glb,testing/_deploy/models/Aurora_LX.glb,"glTF 2 binary, Draco yes",168688,RSI_Aurora_GS_LX,1,"sc-ships/index.json id 3, slug b98kpo5w5iehf (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,6,0,0,0,0,0,no,8.244 x 3.733 x 18.536,8.244 x 3.733 x 18.536,no
Aurora_MR.glb,testing/_deploy/models/Aurora_MR.glb,"glTF 2 binary, Draco yes",1364592,RSI_Aurora_GS_MR,1,"sc-ships/index.json id 4, slug hh0dbpfzvzfe6 (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,6,0,0,0,0,0,no,8.217 x 4.355 x 18.522,8.217 x 4.355 x 18.522,no
Aurora_Mk_II.glb,testing/_deploy/models/Aurora_Mk_II.glb,"glTF 2 binary, Draco yes",5965988,RSI_Aurora_Mk2,1,MODEL_SOURCE.txt: https://api.fleetyards.net/v1/models/rsi-aurora-mk-ii,glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,2,2,Material|Glass.001,0,0,yes,"one or two materials, not split by part (names in material_names)",0,0,12,10,0,0,0,0,yes,60.184 x 83.312 x 21.892,19.866 x 7.226 x 27.5,no
Aurora_SE.glb,testing/_deploy/models/Aurora_SE.glb,"glTF 2 binary, Draco yes",3742064,RSI_Aurora_GS_SE,1,MODEL_SOURCE.txt: https://api.fleetyards.net/v1/models/rsi-aurora-mk-i-se,glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,2,2,Material|Glass.001,0,0,yes,"one or two materials, not split by part (names in material_names)",0,0,0,0,0,0,0,0,yes,87.583 x 38.929 x 18.502,18.5 x 3.908 x 8.223,no
Avenger_Stalker.glb,testing/_deploy/models/Avenger_Stalker.glb,"glTF 2 binary, Draco yes",892116,AEGS_Avenger_Stalker,1,"sc-ships/index.json id 100, slug p3i93go2l3vrj (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,7,0,0,0,0,0,yes,1.399 x 0.494 x 1.905,14.692 x 5.183 x 20.0,no
Avenger_Titan.glb,testing/_deploy/models/Avenger_Titan.glb,"glTF 2 binary, Draco yes",837384,AEGS_Avenger_Titan,1,"sc-ships/index.json id 102, slug rixelhka42s4z (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,7,0,0,0,0,0,no,13.995 x 5.404 x 19.518,13.995 x 5.404 x 19.518,no
Avenger_Titan_Renegade.glb,testing/_deploy/models/Avenger_Titan_Renegade.glb,"glTF 2 binary, Draco yes",837384,AEGS_Avenger_Titan_Renegade,1,"sc-ships/index.json id 124, slug py611vil3osq6 (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,7,0,0,0,0,0,no,13.995 x 5.404 x 19.518,13.995 x 5.404 x 19.518,no
Avenger_Warlock.glb,testing/_deploy/models/Avenger_Warlock.glb,"glTF 2 binary, Draco yes",684036,AEGS_Avenger_Warlock,1,"sc-ships/index.json id 101, slug 9pk8u124dapnt (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,7,0,0,0,0,0,no,13.995 x 5.403 x 19.518,13.995 x 5.403 x 19.518,no
Ballista.glb,testing/_deploy/models/Ballista.glb,"glTF 2 binary, Draco yes",1272104,ANVL_Ballista;ANVL_Ballista_Dunestalker;ANVL_Ballista_Snowblind,3,"sc-ships/index.json id 183, slug q6jqt9v1eahyg (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,6,21,0,0,0,0,0,no,6.738 x 5.36 x 16.719,6.738 x 5.36 x 16.719,no
Basher.glb,testing/_deploy/models/Basher.glb,"glTF 2 binary, Draco yes",695320,GLSN_Basher,1,MODEL_SOURCE.txt: https://api.fleetyards.net/v1/models/grey-basher,glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,2,2,Material|Glass.001,0,0,yes,"one or two materials, not split by part (names in material_names)",0,0,10,10,0,0,0,0,yes,1125.83 x 1364.135 x 439.724,16.75 x 5.399 x 13.824,no
Blade.glb,testing/_deploy/models/Blade.glb,"glTF 2 binary, Draco yes",2050572,VNCL_Blade,1,"sc-ships/index.json id 108, slug wzaj5dyuttftt (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,8,12,0,0,0,0,0,no,20.599 x 6.033 x 19.979,20.599 x 6.033 x 19.979,no
Buccaneer.glb,testing/_deploy/models/Buccaneer.glb,"glTF 2 binary, Draco yes",659468,DRAK_Buccaneer,1,"sc-ships/index.json id 110, slug 8yehawamlfgeg (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,8,9,0,0,0,0,0,no,15.907 x 3.735 x 14.583,15.907 x 3.735 x 14.583,no
C1_Spirit.glb,testing/_deploy/models/C1_Spirit.glb,"glTF 2 binary, Draco yes",2757680,CRUS_Spirit_C1,1,"sc-ships/index.json id 234, slug q9htr8wd9pf4d (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,8,11,0,0,0,0,0,no,43.596 x 8.895 x 46.662,43.596 x 8.895 x 46.662,no
